ASK
time (\mus),Amplitude
30.09,19.65261
30.1,33.629654
30.109999,23.780155
30.119999,32.711155
30.130001,33.93786
30.14,33.849224
30.15,34.785587
30.16,46.122684
30.17,39.083244
30.179998,40.849415
30.19,43.216743
30.199999,43.873966
30.21,49.476696
30.220001,48.39935
30.23,52.31425
30.24,51.25299
30.25,46.043644
30.26,48.70039
30.269999,47.311558
30.28,54.43042
30.29,41.70744
30.3,55.07302
30.310001,44.71496
30.32,40.779507
30.33,37.45657
30.34,45.89812
30.35,39.403355
30.359999,39.56062
30.369999,37.591194
30.380001,33.288654
30.39,30.356503
30.4,29.076382
30.41,21.301691
30.42,17.984062
30.429998,29.755493
30.44,17.148008
30.449999,11.663408
30.46,6.6614265
30.470001,-0.49477273
30.48,2.7509117
30.49,8.69018
30.5,3.7762408
30.51,2.5825992
30.52,0.1440676
30.529999,-7.6783447
30.539999,-20.046713
30.55,-14.040267
30.560001,-14.346619
30.570002,-25.094597
30.579998,-20.881407
30.59,-31.81427
30.6,-33.743515
30.61,-29.463577
30.619999,-32.866314
30.63,-39.979343
30.64,-42.660843
30.65,-37.032475
30.660002,-40.236973
30.669998,-47.311245
30.679998,-40.433014
30.69,-46.91001
30.7,-36.55601
30.709997,-51.24762
30.72,-47.601852
30.73,-45.982807
30.74,-52.026535
30.750002,-47.695076
30.759998,-49.555393
30.769999,-49.957115
30.78,-41.201084
30.79,-46.50839
30.799997,-42.755924
30.81,-46.818718
30.82,-41.046295
30.83,-38.244617
30.840002,-40.876514
30.849998,-43.09257
30.859999,-42.195023
30.87,-33.18933
30.880001,-35.244366
30.889997,-33.393818
30.9,-31.106287
30.91,-27.269102
30.92,-16.736061
30.93,-14.913456
30.939999,-21.626083
30.949999,-13.904875
30.96,-13.248104
30.970001,-17.752472
30.980001,-1.8994269
30.989998,1.0195227
31.0,-4.60426
31.01,6.348673
31.02,15.785828
31.029999,12.508426
31.039999,13.190704
31.05,21.591118
31.060001,17.200687
31.070002,31.08505
31.079998,31.87238
31.09,26.462193
31.1,25.396101
31.11,36.945164
31.119999,32.651897
31.13,41.39758
31.14,36.589542
31.150002,44.242275
31.160002,50.14742
31.169998,41.788338
31.18,47.289574
31.19,50.279293
31.2,48.080456
31.21,44.626183
31.22,57.600037
31.23,58.813427
31.24,51.670975
31.250002,56.033646
31.259998,39.55446
31.269999,45.497917
31.28,41.8799
31.29,42.731586
31.299997,50.44649
31.31,53.619957
31.32,45.506554
31.33,42.82803
31.340002,48.42458
31.349998,34.143536
31.359999,47.72469
31.37,33.24316
