QAM
time (\mus),Amplitude
9.51,-23.982752
9.52,-29.19755
9.53,-38.56523
9.54,-30.192211
9.55,-35.901497
9.559999,-29.74679
9.57,-39.943253
9.58,-34.66098
9.589999,-35.188656
9.6,-34.097485
9.610001,-46.44449
9.62,-43.90079
9.63,-38.836742
9.64,-29.814526
9.65,-33.983746
9.66,-33.961884
9.669999,-34.143208
9.679999,-34.742096
9.690001,-34.15456
9.7,-29.132269
9.71,-40.902046
9.72,-29.073439
9.73,-28.912083
9.74,-23.537964
9.75,-23.150736
9.759999,-22.185116
9.77,-15.853605
9.780001,-18.533714
9.79,-16.440678
9.8,-14.041116
9.809999,-13.0193815
9.82,-6.9768243
9.83,-18.71743
9.839999,-8.609092
9.849999,-4.078621
9.860001,2.225632
9.87,-3.3757
9.88,-0.86645883
9.89,5.1108975
9.9,8.744762
9.91,5.307271
9.92,3.7895784
9.929999,12.767172
9.940001,20.315554
9.95,11.440264
9.96,18.003447
9.97,16.787197
9.98,27.65511
9.99,22.837019
10.0,73.76302
10.009999,84.57722
10.0199995,80.775536
10.030001,92.203735
10.04,99.526985
10.05,95.78006
10.06,100.48973
10.07,98.0853
10.08,103.475044
10.09,108.55188
10.099999,104.285034
10.11,109.37478
10.12,102.77604
10.13,102.88161
10.14,106.65348
10.15,99.62862
10.16,105.947975
10.17,94.45336
10.179999,95.4801
10.19,93.58008
10.200001,98.46638
10.21,93.78788
10.22,84.56117
10.2300005,83.623825
10.24,74.765755
10.25,65.51831
10.259999,75.42436
10.2699995,66.83857
10.28,60.7286
10.29,47.3541
10.3,50.82196
10.31,43.978363
10.32,35.183556
10.33,30.21366
10.34,23.50873
10.349999,21.842102
10.36,6.374379
10.370001,4.997113
10.38,-0.016307944
10.39,-9.759578
10.4,-9.006663
10.41,-18.780554
10.42,-26.313265
10.429999,-28.279366
10.44,-43.092224
10.45,-53.189617
10.46,-51.61861
10.47,-54.039875
10.4800005,-60.779896
10.49,-64.043106
10.5,-73.38179
10.51,-79.879105
10.5199995,-78.07676
10.53,-98.0265
10.54,-89.56619
10.55,-92.414055
10.56,-97.913864
10.57,-97.09925
10.58,-99.36773
10.59,-104.52452
10.599999,-103.62076
10.61,-106.73119
10.62,-114.40849
10.63,-104.602585
10.64,-110.37588
10.650001,-104.44931
10.66,-97.915054
10.67,-90.87868
10.68,-110.09594
10.69,-89.30492
10.7,-95.38903
10.709999,-94.119705
10.72,-94.88305
10.7300005,-85.8228
10.74,-81.28665
10.75,-71.879364
10.76,-71.76738
10.7699995,-65.602104
10.78,-59.51131
10.79,-55.87367
10.8,-47.52624
10.81,-36.849545
10.82,-28.991564
10.83,-26.756992
10.84,-26.4528
10.849999,-8.707401
10.86,-14.014078
10.87,-10.91249
10.879999,0.5069589
10.89,9.107856
10.900001,19.607355
10.91,28.794594
10.92,31.761166
10.93,34.428734
10.94,44.565865
10.95,44.293713
10.96,52.04377
10.969999,65.50102
10.9800005,65.10724
10.99,63.913906
11.0,69.85949
11.01,74.40754
11.0199995,80.93128
11.03,81.811386
11.04,94.07057
11.049999,95.49102
11.06,94.85828
11.070001,105.1674
11.08,105.2888
11.09,97.28637
11.1,107.436066
11.11,100.99058
11.12,101.18993
11.129999,105.28925
11.139999,103.0726
11.150001,105.44204
11.16,96.32256
11.17,88.56686
11.18,102.022484
11.19,101.06167
11.2,94.753426
11.21,87.486664
11.219999,86.52333
11.2300005,76.92324
11.240001,74.68439
11.25,79.27989
11.26,68.05345
11.2699995,53.259453
11.28,54.68747
11.29,62.0387
11.299999,48.50083
11.309999,47.428947
11.320001,41.796444
11.33,29.490303
11.34,23.088629
11.35,20.747927
11.36,8.995913
11.37,2.1598969
11.38,-2.478641
11.389999,-1.662968
11.4,-16.272299
11.41,-20.933273
11.42,-34.53676
11.43,-37.901665
11.44,-45.274876
11.45,-45.20506
11.46,-45.643112
11.469999,-63.555183
11.48,-67.00728
11.490001,-59.027424
11.5,-71.64767
11.51,-85.03785
11.52,-79.477455
11.53,-87.74487
11.54,-96.5269
11.55,-90.59935
11.559999,-91.08445
11.57,-97.38324
11.58,-97.21764
11.59,-102.73559
11.6,-101.80833
11.61,-103.42271
11.62,-102.31615
11.63,-99.7502
11.639999,-105.105
11.65,-109.07188
11.660001,-108.53521
11.67,-98.45726
11.68,-105.91869
11.690001,-100.756424
11.7,-88.50116
11.71,-93.32613
11.719999,-86.84863
11.73,-82.51164
11.74,-72.18385
11.75,-74.1477
11.76,-65.713486
11.77,-61.986267
11.78,-51.81705
11.79,-55.638363
11.8,-47.092327
11.809999,-48.265293
11.82,-34.078167
11.83,-25.124662
11.84,-22.944172
11.85,-16.364664
11.86,-10.859868
11.87,-4.2561626
11.88,-5.1503544
11.889999,11.962672
11.9,19.760862
11.91,27.689325
11.92,21.161531
11.93,35.791092
11.940001,38.265846
11.95,53.453312
11.96,46.57316
11.97,62.91853
11.98,68.381424
11.99,71.54925
11.999999,68.19664
12.01,81.943184
12.02,85.49451
12.03,83.125755
12.04,93.61234
12.05,93.884995
12.059999,94.023926
12.07,97.38023
12.08,103.32307
12.089999,108.6289
12.1,104.56557
12.110001,110.31513
12.12,102.673935
12.13,110.26455
12.139999,109.191826
12.15,98.9802
12.16,97.698135
12.169999,101.26208
12.18,100.03025
12.190001,100.980316
12.2,97.573326
12.21,100.20045
12.22,91.50806
12.23,77.99119
12.24,83.79795
12.25,71.41709
12.259999,64.45102
12.27,62.944706
12.28,57.596844
12.29,57.932114
12.3,43.340515
12.309999,38.147972
12.32,34.650608
12.33,26.759565
12.339999,19.375677
12.35,19.609879
12.360001,7.548262
12.37,-0.8276837
12.38,-1.675057
12.39,-3.0861955
12.4,-20.678648
12.41,-24.92542
12.42,-24.942604
12.429999,-39.737534
12.440001,-35.057125
12.45,-47.232193
12.46,-57.912365
12.47,-57.532223
12.48,-66.54858
12.49,-66.86154
12.5,-75.14411
12.509999,-75.95809
12.5199995,-84.970406
12.530001,-85.82383
